ID;Name;Gender;math;history;biology;chemistry;physics;informatics;alchemy;astrology
12b-0;"Dil Kálmán";M;4,4;2;1,4;2,5,1;3,5;5,1,1;2,4,1,2;4,4,3
12b-1;"Pop Elek";M;4,4,4,2,5;3,3,3;3;5,1,5,4;1,5,1,2;2,5;3,1,1,3;1,4,4,2,4
12b-2;"Git Lenke";W;4;3,4,2;4,2,1,2,1;1,2;3,5,4,4,2;3,1,2;2;2,1,4
12b-3;"Békés Szilárd";M;2,4,5,1,5;3;3,4;5,4,2;5,1;3;1;5,5
12b-4;"Git Piroska";W;3,5,2;3,4,1;2,3;4,1;5,4,4,4,1;4,5;2,4,4;5,1
12b-5;"Har Pál";M;3,5;5,1,4,5;2,2;2,3,3,4;3,5,3,5;5,3,5,2,4;4,5;4
12b-6;"Zsíros B. Elemér";M;3,5;5;5,3,3,1;2,1,3,4,3;4,5;5,2,1,1,1;3,3,2,1,3;1
12b-7;"Pum Lenke";W;1,2,2;4,2,1,5,2;3,3,1;3,2;5,2,5,1;5,1,4,2;1,4,1,4,4;2,5,1,5
12b-8;"Szenyo Csaba";M;1,3;1;3,2,5,1;5,3,5,3,1;1,4,3;3;3,5,2,4;2,4
12b-9;"Pop Csaba";M;5,1;4,3,3,3,3;1;1,3;4,1;3,3;2,1,2,2;1,5,3,3
