Rank;Name;Class;"Overall Average"
1;"Dil Viola";11c;4.0
2;"Budipa Kálmán";11b;3.7
3;"Kandisz Mónika";11b;3.7
4;"Békés Lenke";12a;3.7
5;"Minden Nóra";11b;3.6
6;"Külö Mónika";11b;3.6
7;"Har Pál";12b;3.6
8;"Major Csaba";12c;3.5
9;"Major Nóra";11b;3.4
10;"Bekre Ödön";12c;3.4
11;"Virra Ödön";11c;3.3
12;"Budipa Ödön";11c;3.3
13;"Kandisz Zita";12c;3.3
14;"Külö Nóra";12c;3.3
15;"Har Mercédesz";11c;3.2
16;"Békés Szilárd";12b;3.2
17;"Git Piroska";12b;3.2
18;"Lapos Anna";12c;3.2
19;"Lapos Ottó";12c;3.2
20;"Kalim Pál";11b;3.1
21;"Patta Áron";11c;3.1
22;"Zsíros B. Elemér";12b;3.1
23;"Külö Csaba";12c;3.1
24;"Kasza Ottó";12c;3.1
25;"Békés Ödön";12a;3.0
26;"Harm Szilárd";11a;3.0
27;"Bármi Ödön";11a;3.0
28;"Major Ottó";11a;3.0
29;"Rabsz Ottó";12a;3.0
30;"Békés Emma";12a;3.0
31;"Kandisz Ella";12a;3.0
32;"Pop Elek";12b;3.0
33;"Riz Anna";12c;3.0
34;"Kard Ödön";11a;2.9
35;"Bekre Blanka";11c;2.9
36;"Ultra Piroska";12a;2.9
37;"Mikorka Áron";12a;2.9
38;"Dil Kálmán";12b;2.9
39;"Kasza Áron";12c;2.9
40;"Ének Piroska";11a;2.8
41;"Bor Viola";11a;2.8
42;"Szikla Csaba";11a;2.8
43;"Git Lenke";12b;2.8
44;"Virra Mónika";11b;2.8
45;"Minden Szilárd";11c;2.8
46;"Szenyo Áron";11c;2.8
47;"Git Elek";12a;2.8
48;"Har Ödön";12c;2.8
49;"Rabsz Virág";11a;2.7
50;"Har Dóra";11a;2.7
51;"Pum Virág";11b;2.7
52;"Budipa Ottó";11b;2.7
53;"Kalim Kálmán";12a;2.7
54;"Szenyo Csaba";12b;2.7
55;"Riz Csaba";12c;2.7
56;"Pum Áron";11a;2.6
57;"Szenyo Zita";11c;2.6
58;"Harm Piroska";11c;2.6
59;"Kard Dóra";11c;2.6
60;"Mikorka Simon";12a;2.6
61;"Pum Lenke";12b;2.6
62;"Kandisz Rita";11a;2.5
63;"Bármi Piroska";11b;2.5
64;"Fejet Szilárd";12a;2.5
65;"Pop Csaba";12b;2.4
66;"Riz Zita";11a;2.3
67;"Békés Rita";11c;2.2
