ID;Name;Gender;math;history;biology;chemistry;physics;informatics;alchemy;astrology
11b-0;Szenyo;M;;1;;4,5,2,3,1;3;1,2,1,5,5;3,4,4,1,1;5,5,5
11b-1;Pum;M;;;2,1,3,4,5;2,1,1;5,1,2;1;5;5,1
11b-2;Fekete;M;;5,1,3,4,2;5,5,3,1;4,5;4;4;1,2,1,3;2,2
11b-3;Ultra;M;4,5,2,1,5;3,5,1,4;4,1,2;1;5,3;4,4,3,1;;3,2,5,5
11b-4;Kard;M;;4,4,3;3,3,5,1;2;5,2;1,3;4,2,2,4,4;3,4,4,4
11b-5;Kard;M;1,3,3;3,1,1,2;3,5,3,4;5;4,5,5,5,3;;1,5;1,4,1,4,1
11b-6;Pum;M;;;2,5,5;1;5,5,5,5;5,5,5,5,2;4;1,1,5,4,4
11b-7;Riz;M;5;2,2,5,5,2;;3,3,5,1,4;3,4,3,1,2;4;2,1,5;2,1,2
11b-8;Harm;M;2,1,2,4,4;4,4;2,1,1;2;4,1,2,5;5,4,1,4;;5,5,2,2
11b-9;Lapos;M;5,2,5,2,5;2,2,5,3,2;1,5,3;2,2,3,1;2,3,2,4;4,3,4,1;3,5,2;
11b-10;Kard;M;5,4;4,4,4,5;2;;5,3,4,1,5;3,2,5,2,4;2,1,5,4,2;2,1
11b-11;Ének;M;3,1;5,5,3,1,2;3,4,5,1,3;1,5,5;5,3,2,3;3,2,1,1,2;5;2,5
